,genre,score,budget,gross,seq
268,0,6.5,19300000.0,566611.0,0
269,0,5.1,14000000.0,29612137.0,0
270,0,5.5,10000000.0,91196419.0,1
271,1,6.8,169000.0,18586834.0,0
272,6,5.5,35000000.0,61746888.0,1
273,0,8.5,40000000.0,109676311.0,0
274,2,8.0,150000000.0,616502912.0,1
275,4,7.7,6000000.0,48618191.0,0
276,0,4.3,70000000.0,38629478.0,0
277,2,6.7,17000000.0,57232879.0,1
278,3,5.5,50000000.0,87528173.0,0
279,1,6.6,17300000.0,39220946.0,0
280,6,6.6,149000000.0,178281554.0,0
281,2,4.8,21000000.0,7563172.0,1
282,1,6.7,15000000.0,21156270.0,0
283,7,7.4,15000000.0,49814392.0,0
284,2,6.5,60000000.0,17858059.0,0
285,4,7.0,30000000.0,35078241.0,0
286,6,5.0,60000000.0,143325970.0,1
287,3,7.6,70000000.0,137515140.0,0
288,2,7.5,150000000.0,942172396.0,1
289,0,7.8,30000000.0,131016624.0,0
290,5,7.0,15000000.0,65048678.0,0
291,3,6.1,180000000.0,372234864.0,0
292,1,6.4,25000000.0,232225908.0,0
293,4,6.8,55000000.0,75782758.0,1
294,4,7.0,16500000.0,37407812.0,0
295,2,5.4,35000000.0,25303038.0,0
296,2,6.6,200000000.0,589580482.0,1
297,1,7.9,15000000.0,34085749.0,1
298,0,8.0,15000000.0,378410542.0,0
299,2,7.3,18000000.0,25740863.0,0
300,4,6.7,35000000.0,78201830.0,0
301,0,7.8,12500000.0,40416563.0,0
302,2,7.1,230000.0,2260712.0,1
303,3,6.6,130000000.0,211787511.0,0
304,7,7.2,20000000.0,64828421.0,0
305,2,5.9,30000000.0,22472631.0,0
306,4,6.4,28000000.0,19152009.0,0
307,4,7.7,25000000.0,27426335.0,0
308,1,3.8,62000000.0,40877556.0,0
309,7,6.7,15000000.0,5926410.0,0
310,0,6.7,20000000.0,13451186.0,0
311,6,6.1,60000000.0,86957280.0,0
312,1,6.4,20000000.0,30579406.0,0
313,1,7.0,6000000.0,3175469.0,0
314,2,7.6,250000000.0,934454096.0,1
315,0,7.8,5000000.0,9760107.0,1
316,3,6.8,30000000.0,61808775.0,0
317,1,7.1,7000000.0,31430334.0,0
318,1,7.4,50000000.0,36348784.0,0
319,0,7.3,7500000.0,26096852.0,0
320,4,7.3,35000000.0,29196409.0,0
321,0,5.8,80000000.0,54004950.0,0
322,4,6.9,8500000.0,14374652.0,0
323,2,7.2,7300000.0,10371451.0,0
324,4,6.7,60000000.0,38332994.0,0
325,7,6.7,800000.0,896919.0,1
326,4,7.5,10000000.0,4091378.0,0
327,1,6.2,23000000.0,9368242.0,0
328,2,7.6,30000000.0,96188903.0,0
329,3,6.4,500000.0,5060438.0,1
330,3,5.9,95000000.0,226497209.0,1
331,4,8.0,15000000.0,427374317.0,1
332,2,6.3,12000000.0,6890432.0,1
333,0,7.1,15000000.0,9918093.0,0
334,2,6.8,100000000.0,154711438.0,0
335,0,7.1,20000000.0,27093592.0,1
336,2,6.6,80000000.0,81126522.0,0
337,1,6.1,35000000.0,93251121.0,0
338,2,6.8,8000000.0,3494154.0,0
339,7,6.1,13000000.0,4052191.0,0
340,1,3.8,35000000.0,36351945.0,1
341,3,8.1,125000000.0,1342321665.0,0
342,0,7.2,6500000.0,19123767.0,0
343,0,7.5,7000000.0,9232318.0,0
344,2,6.8,30000000.0,135710029.0,1
345,0,7.5,150000000.0,185770310.0,0
346,1,7.3,10000000.0,136836272.0,1
347,2,6.4,70000000.0,57084522.0,0
348,2,6.3,45000000.0,160078586.0,1
349,2,6.7,13000000.0,6206022.0,1
350,6,5.9,36000000.0,193967670.0,1
351,2,6.2,25000000.0,37989684.0,0
352,0,6.3,15000000.0,2042203.0,0
353,4,6.4,13000000.0,115890699.0,0
354,0,6.9,30000000.0,15395087.0,0
355,2,8.4,250000000.0,1081142612.0,0
356,2,7.7,200000000.0,1108569499.0,1
357,0,7.6,61000000.0,441809770.0,0
358,2,7.1,50000000.0,41037742.0,0
359,0,6.6,40600000.0,68929150.0,0
360,1,7.2,15000000.0,32226382.0,0
361,0,6.4,17000000.0,128955898.0,1
362,3,7.2,16600000.0,22842887.0,0
363,1,6.8,11000000.0,59520298.0,0
364,6,6.7,55000000.0,123054041.0,0
365,1,6.3,7980000.0,2724695.0,0
366,0,7.7,100000000.0,723192705.0,0
367,1,7.8,12000000.0,87100449.0,0
368,0,6.3,13300000.0,5866389.0,0
369,1,7.3,7000000.0,7609187.0,0
370,2,6.5,28000000.0,60795985.0,0
371,2,8.1,38000000.0,96983009.0,0
372,2,6.8,22000000.0,15661554.0,0
373,1,7.0,20000000.0,46091271.0,0
374,0,6.8,12000000.0,12077441.0,0
375,0,7.1,2000000.0,5090608.0,0
376,7,5.3,25000000.0,71009334.0,0
377,2,6.2,20000000.0,12671109.0,0
378,4,7.3,10900000.0,16607575.0,0
379,1,7.1,5000000.0,8417248.0,0
380,3,6.2,195000000.0,197687603.0,0
381,7,6.9,20000000.0,24261569.0,0
382,1,6.1,8500000.0,1486506.0,0
383,4,7.6,12000000.0,100129872.0,0
384,2,6.5,8000000.0,925762.0,0
385,7,6.8,6500000.0,2891812.0,0
386,2,7.7,81000000.0,414351546.0,1
387,0,7.7,15000000.0,36869414.0,0
388,4,8.0,14000000.0,233555708.0,0
389,3,6.2,127000000.0,363204635.0,1
390,4,7.7,15000000.0,123726688.0,0
391,2,6.0,140000000.0,268175631.0,0
392,6,7.2,55000000.0,282377683.0,1
393,2,6.9,50000000.0,222809600.0,0
394,2,6.2,100000000.0,103039258.0,0
395,0,6.4,22000000.0,17669776.0,0
396,7,6.8,15000000.0,36233517.0,0
397,4,7.5,20000000.0,66787908.0,0
398,1,6.4,12000000.0,7257942.0,0
399,5,5.1,200000.0,17835162.0,0
400,0,6.5,1000000.0,185147.0,0
401,4,6.9,30000000.0,33448971.0,0
402,0,6.9,14000000.0,31972096.0,0
403,3,8.0,108000000.0,630162448.0,0
404,2,6.8,245000000.0,880681519.0,1
405,4,6.9,30000000.0,42972994.0,0
406,2,7.1,55000000.0,203427584.0,0
407,4,7.1,15000000.0,64191523.0,0
408,0,7.2,11800000.0,40272135.0,0
409,4,7.2,30000000.0,34441873.0,0
410,0,7.5,11000000.0,62402155.0,0
411,0,6.6,15000000.0,16322067.0,0
412,0,6.0,65000000.0,34227298.0,0
413,4,6.7,6000000.0,41387687.0,0
414,4,7.1,35000000.0,48623572.0,0
415,6,7.3,8000000.0,5659286.0,0
416,4,7.3,11000000.0,61619773.0,0
417,4,7.4,23000000.0,46152800.0,0
418,2,7.3,13000000.0,35259653.0,0
419,1,6.6,10000000.0,85978292.0,0
420,0,6.2,2000000.0,11122090.0,0
421,2,5.5,60000000.0,47275717.0,0
422,4,7.2,10000000.0,12252684.0,0
423,2,6.9,2000000.0,1295574.0,0
424,0,6.9,11000000.0,29355203.0,0
425,0,7.4,20000000.0,208314186.0,0
426,3,7.3,180000000.0,814044001.0,1
427,2,6.2,180000000.0,356700357.0,0
428,3,7.4,175000000.0,966554929.0,1
429,4,8.0,12000000.0,140853810.0,0
430,2,7.1,85000000.0,119520023.0,0
431,4,7.3,40000000.0,37357216.0,0
432,4,7.0,28000000.0,21011110.0,0
433,2,6.2,35000000.0,27979040.0,0
434,2,6.3,20000000.0,14857808.0,0
435,0,7.2,20000000.0,25975621.0,0
436,3,7.5,43000000.0,47309313.0,0
437,4,6.8,29000000.0,49052787.0,0
438,1,6.1,30000000.0,9169507.0,0
439,2,6.2,40000000.0,30930984.0,0
440,4,7.0,9000000.0,12957265.0,0
441,4,6.7,10000000.0,7994527.0,0
442,4,7.4,30000000.0,150847274.0,0
443,2,5.5,69000000.0,177856751.0,1
444,2,7.8,100000000.0,527016307.0,0
445,2,7.6,34000000.0,226945087.0,0
446,2,6.7,104000000.0,410902662.0,1
447,1,8.1,15000000.0,160192267.0,0
448,7,7.7,11000000.0,43980821.0,0
449,2,6.7,175000000.0,148675066.0,0
450,5,6.6,58000000.0,100541806.0,0
451,1,7.2,13000000.0,24646055.0,0
452,2,7.0,35000000.0,145418070.0,0
453,7,5.1,35000000.0,43155261.0,0
454,3,5.7,5300000.0,62198461.0,1
455,1,5.7,25000000.0,12751667.0,0
456,6,7.8,40000000.0,227978645.0,1
457,0,7.2,18000000.0,41681746.0,1
458,4,6.7,25000000.0,18598607.0,0
459,0,6.2,25000000.0,9204549.0,0
460,4,6.8,21000000.0,66558465.0,0
461,4,6.1,6400000.0,6724365.0,0
462,0,6.5,5400000.0,12062146.0,0
463,4,7.9,52000000.0,911902649.0,0
464,3,6.8,40000000.0,43070915.0,0
465,1,6.6,75000000.0,395618157.0,1
466,5,6.5,6000000.0,1555203.0,0
467,0,6.6,12000000.0,242115.0,0
468,3,6.5,200000000.0,654855901.0,1
469,2,6.6,40000000.0,31676128.0,0
470,4,6.3,25000000.0,46712809.0,0
471,2,6.3,94000000.0,274650803.0,1
472,0,5.5,30000000.0,9330075.0,0
473,7,6.9,42000000.0,75984700.0,0
474,2,6.1,15000000.0,13313581.0,0
475,2,5.6,150000000.0,290930148.0,0
476,7,4.0,8000000.0,487420.0,0
477,3,7.3,75000000.0,197744377.0,0
478,2,6.2,25000000.0,158972499.0,0
479,4,7.2,10000000.0,24420923.0,0
480,4,7.1,11000000.0,40811919.0,0
481,1,6.8,26000000.0,153193369.0,0
482,0,7.4,13000000.0,237860050.0,1
483,3,6.9,183000000.0,1050693953.0,1
484,1,7.9,18600000.0,333686.0,0
485,4,7.3,40000000.0,195179299.0,0
486,2,6.2,60000000.0,76419755.0,1
487,0,5.4,25000000.0,14454622.0,0
488,3,5.0,12000000.0,47582563.0,0
489,1,6.9,15000000.0,18096691.0,0
490,2,6.0,59000000.0,32140970.0,0
491,1,6.0,10000000.0,16418218.0,0
